 fyear fmonth   fday   nday  nhour           rain           tair            par             vd          esoil             pc        jmax25t        jmax25g            mqt             rl        lambdat        lambdag             rr           asst           assg           etmt           etmg           su_1             zw             ws         spgfcf           infx
  2000      1      2   7307      3    0.11574E-08    0.25120E+02    0.00000E+00    0.89937E-03    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34098E+04    0.25861E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.44071E-02   -0.49028E-02    0.00000E+00    0.00000E+00    0.81880E+00    0.87060E+01    0.97255E+01    0.17051E-03    0.00000E+00
  2000      1      2   7307      4    0.11574E-08    0.24751E+02    0.00000E+00    0.21003E-03    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34098E+04    0.25512E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.43477E-02   -0.48367E-02    0.00000E+00    0.00000E+00    0.80106E+00    0.87059E+01    0.97253E+01    0.17049E-03    0.00000E+00
  2000      1      2   7307      5    0.11574E-08    0.24457E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34098E+04    0.25230E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.42996E-02   -0.47831E-02    0.00000E+00    0.00000E+00    0.78496E+00    0.87057E+01    0.97251E+01    0.17047E-03    0.00000E+00
  2000      1      2   7307      6    0.11574E-08    0.24414E+02    0.90236E-04    0.00000E+00    0.99638E-05    0.10000E+01    0.31359E-03    0.17274E-03    0.34098E+04    0.25188E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.76381E+00    0.87056E+01    0.97250E+01    0.17044E-03    0.00000E+00
  2000      1      2   7307      7    0.11574E-08    0.24829E+02    0.34623E-03    0.35380E-03    0.37563E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.34057E+04    0.25586E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.14291E-01    0.28544E-01    0.86067E-05    0.25868E-04    0.75053E+00    0.87054E+01    0.97248E+01    0.17042E-03    0.00000E+00
  2000      1      2   7307      8    0.11574E-08    0.25789E+02    0.58478E-03    0.21831E-02    0.62303E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33933E+04    0.26470E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.22989E-01    0.41524E-01    0.35482E-04    0.96886E-04    0.73138E+00    0.87053E+01    0.97246E+01    0.17040E-03    0.00000E+00
  2000      1      2   7307      9    0.11574E-08    0.27170E+02    0.78963E-03    0.49777E-02    0.82626E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33772E+04    0.27598E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.28468E-01    0.49134E-01    0.70186E-04    0.18219E-03    0.71810E+00    0.87051E+01    0.97242E+01    0.17038E-03    0.00000E+00
  2000      1      2   7307     10    0.11574E-08    0.28686E+02    0.94681E-03    0.82828E-02    0.97253E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33608E+04    0.28519E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.31471E-01    0.53292E-01    0.10582E-03    0.26817E-03    0.70469E+00    0.87050E+01    0.97237E+01    0.17036E-03    0.00000E+00
  2000      1      2   7307     11    0.11574E-08    0.30057E+02    0.10456E-02    0.11494E-01    0.10538E-03    0.10000E+01    0.31359E-03    0.17274E-03    0.33474E+04    0.28914E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.32545E-01    0.54846E-01    0.13495E-03    0.33917E-03    0.69134E+00    0.87049E+01    0.97231E+01    0.17034E-03    0.00000E+00
  2000      1      2   7307     12    0.11574E-08    0.31137E+02    0.10793E-02    0.14185E-01    0.10673E-03    0.10000E+01    0.31359E-03    0.17274E-03    0.33391E+04    0.28823E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.32114E-01    0.53762E-01    0.15307E-03    0.34266E-03    0.67862E+00    0.87048E+01    0.97224E+01    0.17032E-03    0.00000E+00
  2000      1      2   7307     13    0.11574E-08    0.31928E+02    0.10456E-02    0.16250E-01    0.10152E-03    0.10000E+01    0.31359E-03    0.17274E-03    0.33364E+04    0.28483E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.30427E-01    0.51375E-01    0.15921E-03    0.34255E-03    0.66665E+00    0.87046E+01    0.97216E+01    0.17030E-03    0.00000E+00
  2000      1      2   7307     14    0.11574E-08    0.32465E+02    0.94680E-03    0.17696E-01    0.90328E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33391E+04    0.28106E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.27557E-01    0.47942E-01    0.15343E-03    0.34243E-03    0.65544E+00    0.87045E+01    0.97209E+01    0.17028E-03    0.00000E+00
  2000      1      2   7307     15    0.11574E-08    0.32709E+02    0.78962E-03    0.18366E-01    0.74088E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33477E+04    0.27894E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.23459E-01    0.43233E-01    0.13508E-03    0.34231E-03    0.64501E+00    0.87044E+01    0.97201E+01    0.17026E-03    0.00000E+00
  2000      1      2   7307     16    0.11574E-08    0.32557E+02    0.58477E-03    0.17947E-01    0.54021E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33624E+04    0.28029E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.17878E-01    0.35777E-01    0.10320E-03    0.30202E-03    0.63569E+00    0.87043E+01    0.97194E+01    0.17024E-03    0.00000E+00
  2000      1      2   7307     17    0.11574E-08    0.31953E+02    0.34622E-03    0.16316E-01    0.31547E-04    0.10000E+01    0.31359E-03    0.17274E-03    0.33829E+04    0.28468E-05    0.16427E+04    0.42434E+04    0.71352E-07    0.10237E-01    0.23421E-01    0.58470E-04    0.19066E-03    0.62803E+00    0.87042E+01    0.97187E+01    0.17022E-03    0.00000E+00
  2000      1      2   7307     18    0.11574E-08    0.30989E+02    0.00000E+00    0.13808E-01    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.28859E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.49181E-02   -0.54713E-02    0.00000E+00    0.00000E+00    0.62505E+00    0.87041E+01    0.97183E+01    0.17020E-03    0.00000E+00
  2000      1      2   7307     19    0.11574E-08    0.29887E+02    0.00000E+00    0.11085E-01    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.28893E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.49239E-02   -0.54776E-02    0.00000E+00    0.00000E+00    0.62233E+00    0.87040E+01    0.97181E+01    0.17019E-03    0.00000E+00
  2000      1      2   7307     20    0.11574E-08    0.28878E+02    0.00000E+00    0.87175E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.28603E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.48745E-02   -0.54227E-02    0.00000E+00    0.00000E+00    0.61743E+00    0.87039E+01    0.97179E+01    0.17017E-03    0.00000E+00
  2000      1      2   7307     21    0.11574E-08    0.28073E+02    0.00000E+00    0.69146E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.28197E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.48053E-02   -0.53457E-02    0.00000E+00    0.00000E+00    0.61274E+00    0.87038E+01    0.97177E+01    0.17015E-03    0.00000E+00
